Year,Month,Para Transpo Ridership
2019,January,75306
2019,February,69038
2019,March,80277
2019,April,76946
2019,May,79713
2019,June,71654
2019,July,71407
2019,August,67805
2019,September,71854
2019,October,80966
2019,November,79512
2019,December,69648
2020,January,78439
2020,February,72874
2020,March,46063
2020,April,10677
2020,May,12389
2020,June,16404
2020,July,21687
2020,August,22582
2020,September,26749
2020,October,26526
2020,November,27026
2020,December,27525
2021,January,20181
2021,February,22262
2021,March,29364
2021,April,22817
2021,May,22893
2021,June,27882
2021,July,31063
2021,August,34058
2021,September,37448
2021,October,40032
2021,November,43520
2021,December,42749
2022,January,27794
2022,February,35332
2022,March,47797
2022,April,44517
2022,May,46952
2022,June,51458
2022,July,47111
2022,August,49360
2022,September,52943
2022,October,55336
2022,November,59427
2022,December,53929
