Year,Month,Service Reliability - Excess Wait Time - O-Train Line 1
2020,January,0.3
2020,February,0.3
2020,March,0.1
2020,April,0
2020,May,0.1
2020,June,0.1
2020,July,0.3
2020,August,0.1
2020,September,0
2020,October,0
2020,November,0.1
2020,December,0.1
2021,January,0
2021,February,0.1
2021,March,0.1
2021,April,0
2021,May,0.1
2021,June,0
2021,July,0
2021,August,0.2
2021,September,0.1
2021,October,
2021,November,0
2021,December,0
2022,January,0.1
2022,February,0.1
2022,March,0.0
2022,April,0.0
2022,May,0.1
2022,June,0.0
2022,July,0.1
2022,August,0.1
2022,September,0.0
2022,October,0.0
2022,November,0.0
2022,December,0.1
