Year,Month,Average Time To Answer
2019,January,29.47
2019,February,35.05
2019,March,47.75
2019,April,47.45
2019,May,47.75
2019,June,44.7
2019,July,13.55
2019,August,34.53
2019,September,45.3
2019,October,14.68
2019,November,27.72
2019,December,22.25
2020,January,8.75
2020,February,9.28
2020,March,6.62
2020,April,0.28
2020,May,0.27
2020,June,0.62
2020,July,0.92
2020,August,1.62
2020,September,1.32
2020,October,1.32
2020,November,2.37
2020,December,3.07
2021,January,0.4
2021,February,1.47
2021,March,2.33
2021,April,1.58
2021,May,1.28
2021,June,2.52
2021,July,3.38
2021,August,3.7
2021,September,6.43
2021,October,7.13
2021,November,6.97
2021,December,11.13
2022,January,4.25
2022,February,4.77
2022,March,4.27
2022,April,4.72
2022,May,5.02
2022,June,3.75
2022,July,3.92
2022,August,5.82
2022,September,3
2022,October,2.37
2022,November,1.82
2022,December,1.8
