Year,Month,Service Reliability - Excess Wait Time - Bus
2020,January,0.8
2020,February,0.8
2020,March,1
2020,April,1
2020,May,1.1
2020,June,0.2
2020,July,0.7
2020,August,0.7
2020,September,0.7
2020,October,0.7
2020,November,0.7
2020,December,0.6
2021,January,1.8
2021,February,2
2021,March,2.1
2021,April,2.2
2021,May,1.6
2021,June,0.9
2021,July,2
2021,August,2
2021,September,2.6
2021,October,3.1
2021,November,2.4
2021,December,2.7
2022,January,2.7
2022,February,3
2022,March,2.6
2022,April,2.6
2022,May,3.4
2022,June,3.3
2022,July,2.8
2022,August,3.1
2022,September,3.2
2022,October,2.9
2022,November,2.9
2022,December,3.2
